"","endTime","artistName","trackName","msPlayed"
"176","2019-08-06 12:40","Olli Schulz","H.D.F.K.K.",136200
"177","2019-08-06 12:44","Olli Schulz","Koks & Nutten",274844
"178","2019-08-06 12:47","Olli Schulz","Spielerfrau",162267
"179","2019-08-06 12:51","Khalid","OTW",263014
"180","2019-08-06 12:55","6LACK","PRBLMS",246773
"181","2019-08-06 12:58","Playboi Carti","Magnolia",181812
"182","2019-08-06 13:02","Summer Cem","Casanova",206813
"183","2019-08-06 13:05","Bausa","Was du Liebe nennst",203630
"184","2019-08-06 13:08","Bausa","Vagabund",153188
"185","2019-08-06 13:10","Rex Orange County","Loving Is Easy",155720
"186","2019-08-06 13:15","Rex Orange County","Sunflower",252231
"187","2019-08-06 13:19","Rex Orange County","Best Friend",262231
"188","2019-08-06 13:22","The Vamps","All Night",197640
"189","2019-08-06 13:31","Matoma","Old Thing Back (feat. Ja Rule and Ralph Tresvant)",544930
"190","2019-08-06 13:35","Matoma","Party On The West Coast (feat. Snoop Dogg)",233077
"191","2019-08-06 13:35","Dean Lewis","Be Alright",12797
"193","2019-08-06 13:40","Dean Lewis","Waves",240013
"194","2019-08-06 13:44","Kings of Leon","Pyro",250533
"195","2019-08-06 13:47","Khalid","Saturday Nights",209547
"196","2019-08-06 13:51","Hozier","Take Me To Church",241688
"197","2019-08-06 13:55","Dendemann","Ich dende also bin ich",206766
"198","2019-08-06 13:58","Kraftklub","Songs für Liam",193973
"199","2019-08-06 14:00","Bausa","Vagabund",153188
"200","2019-08-06 14:04","Billie Eilish","bad guy",194088
"201","2019-08-06 14:11","Alan Walker","Darkside",211680
"202","2019-08-06 14:14","Courtney Barnett","Nobody Really Cares If You Don't Go to the Party",166080
"203","2019-08-06 14:18","Kings of Leon","Reverend",234080
"204","2019-08-06 14:21","Parcels","Overnight",219603
"205","2019-08-06 14:26","Liam Payne","For You (Fifty Shades Freed) (& Rita Ora)",245453
"206","2019-08-06 14:29","Gramatik","Hit That Jive",203051
"207","2019-08-06 14:33","Billie Eilish","wish you were gay",221543
"208","2019-08-06 14:36","Kings of Leon","Sex on Fire",203347
"209","2019-08-06 14:37","Ufo361","Beverly Hills",31807
"211","2019-08-06 14:40","Ufo361","Beverly Hills",200927
"213","2019-08-06 14:46","Scooter","Hyper Hyper",99639
"214","2019-08-06 14:50","Rex Orange County","Best Friend",262231
"215","2019-08-06 14:54","Hozier","Movement",237800
"216","2019-08-06 14:57","Ufo361","Next",164471
"217","2019-08-06 15:01","Kings of Leon","Use Somebody",230760
"218","2019-08-06 15:04","Dean Lewis","Be Alright",196493
"219","2019-08-06 15:07","Kraftklub","Ich will nicht nach Berlin",202427
"220","2019-08-06 15:11","Twenty One Pilots","Heathens",195920
"222","2019-08-06 15:15","Matoma","Party On The West Coast (feat. Snoop Dogg)",233077
"223","2019-08-06 15:18","Swedish House Mafia","Save The World",213338
"224","2019-08-06 15:22","Tom Walker","Now You're Gone (feat. Zara Larsson)",212142
"225","2019-08-06 15:25","Twenty One Pilots","Stressed Out",202333
"226","2019-08-06 15:29","Mia Morgan","Waveboy - Demo",209183
"227","2019-08-06 15:32","The Vamps","All Night",197640
"228","2019-08-06 15:36","Granada","Ottakring",232467
"229","2019-08-06 15:40","Khalid","Better",229320
"230","2019-08-06 15:47","Matoma","Old Thing Back (feat. Ja Rule and Ralph Tresvant)",321650
"231","2019-08-06 15:52","Khalid","OTW",256848
"232","2019-08-06 15:55","Playboi Carti","Magnolia",181812
"233","2019-08-06 15:59","Alli Neumann","Banditen",217640
"234","2019-08-06 16:02","Billie Eilish","when the party's over",196077
"235","2019-08-06 16:05","Tom Walker","Leave a Light On",185863
"236","2019-08-06 16:07","Khalid","Outta My Head (with John Mayer)",177067
"237","2019-08-06 16:12","Marteria","Chardonnay & Purple Haze",237683
"238","2019-08-06 16:15","Loud Luxury","Body",163216
"239","2019-08-06 16:18","Billie Eilish","all the good girls go to hell",168840
"240","2019-08-06 16:21","Ufo361","Scheiß auf eure Party",220328
"241","2019-08-06 16:25","Billie Eilish","lovely (with Khalid)",200186
"242","2019-08-06 16:28","Alan Walker","Faded",212107
"243","2019-08-06 16:32","Dean Lewis","7 Minutes",211453
"244","2019-08-06 16:35","Ilgen-Nur","Cool",172404
"245","2019-08-06 16:39","Gramatik","Satoshi Nakamoto (feat. Adrian Lau, ProbCause)",266671
"246","2019-08-06 16:43","Kraftklub","Schüsse in die Luft",248560
"247","2019-08-06 16:46","benny blanco","Eastside (with Halsey & Khalid)",170770
"248","2019-08-06 16:50","Kings of Leon","Closer",237480
"249","2019-08-06 16:54","Gramatik","Muy Tranquilo",233755
"251","2019-08-06 16:57","Martin Garrix","Scared to Be Lonely",220883
"252","2019-08-06 17:01","Martin Garrix","In the Name of Love",195707
"253","2019-08-06 17:05","Rex Orange County","Sunflower",252231
"254","2019-08-06 17:08","Courtney Barnett","Debbie Downer",197560
"255","2019-08-06 17:13","Kraftklub","Kein Liebeslied",258360
"256","2019-08-06 17:16","Scooter","Move Your Ass! - Noisecontrollers Remix",206549
"257","2019-08-06 17:19","Sido","Mädchen gegen Jungs - All-Star-Version",176760
"258","2019-08-06 17:23","Marteria","Champion Sound",235975
"259","2019-08-06 17:28","Twenty One Pilots","Chlorine",306205
"260","2019-08-06 17:29","Alli Neumann","Hohes Fieber",72828
"261","2019-08-06 17:32","Swedish House Mafia","One (Your Name) - Radio Edit",163247
"262","2019-08-06 17:36","Scooter","How Much Is The Fish?",227000
"263","2019-08-06 17:39","Dendemann","Keine Parolen",211539
"264","2019-08-06 17:42","Granada","Eh ok",157430
"265","2019-08-06 17:45","Marteria","Adrenalin",173372
"266","2019-08-06 17:49","Alli Neumann","Monster",222373
"267","2019-08-06 17:53","Marteria","1982 (Als ob's gestern war)",227919
"268","2019-08-06 17:56","Swedish House Mafia","Don't You Worry Child - Radio Edit",212862
"269","2019-08-06 17:59","Rita Ora","Your Song",180160
"270","2019-08-06 18:02","Granada","Pina Colada",150360
"271","2019-08-06 18:02","Dendemann","Zeitumstellung",31229
"272","2019-08-06 18:03","Bausa","Was du Liebe nennst",21248
"273","2019-08-07 11:25","Khalid","Winter",241866
"274","2019-08-07 11:26","Tom Walker","Fly Away With Me",33672
"275","2019-08-07 11:30","Kraftklub","Schüsse in die Luft",248560
"276","2019-08-07 11:34","Kraftklub","Kein Liebeslied",258360
"277","2019-08-07 11:37","Kraftklub","Songs für Liam",193973
"278","2019-08-07 11:41","Kraftklub","Dein Lied",235546
"279","2019-08-07 12:07","Kraftklub","Ich will nicht nach Berlin",202426
"280","2019-08-07 12:10","Khalid","Better",197263
"282","2019-08-07 12:13","Granada","Berlin",149546
"283","2019-08-07 12:15","Hozier","Almost (Sweet Music)",154947
"284","2019-08-09 08:36","Kraftklub","Schüsse in die Luft",248560
"285","2019-08-09 08:41","Billie Eilish","bury a friend",193143
"286","2019-08-09 08:42","Martin Garrix","Ocean (feat. Khalid)",29010
"287","2019-08-09 08:44","Granada","Pina Colada",150360
"290","2019-08-09 08:45","Mia Morgan","Es geht dir gut",40449
"297","2019-08-09 08:49","Ufo361","Beverly Hills",200926
